"","4/11/2020 confirmed","4/11/2020 positive","4/11/2020 tested","4/13/2020 confirmed","4/13/2020 positive","4/13/2020 tested","4/14/2020 confirmed","4/20/2020 confirmed","4/20/2020 positive","4/20/2020 tested","4/21/2020 confirmed","4/21/2020 positive","4/21/2020 tested","4/23/2020 confirmed","4/23/2020 positive","4/23/2020 tested","4/25/2020 confirmed","4/25/2020 positive","4/25/2020 tested","4/27/2020 confirmed","4/27/2020 positive","4/27/2020 tested","4/28/2020 confirmed","4/28/2020 positive","4/28/2020 tested","4/29/2020 confirmed","4/29/2020 positive","4/29/2020 tested","4/30/2020 confirmed","4/30/2020 positive","4/30/2020 tested","4/7/2020 confirmed","4/9/2020 confirmed","5/1/2020 confirmed","5/1/2020 positive","5/1/2020 tested","5/4/2020 confirmed","5/4/2020 positive","5/4/2020 tested","5/5/2020 confirmed","5/5/2020 positive","5/5/2020 tested","5/6/2020 confirmed","5/6/2020 positive","5/6/2020 tested","county","population_2015","primary_city","zip"
"1",21,0.0296610169491525,708,26,0.0431177446102819,603,27,34,0.134387351778656,253,35,0.136186770428016,257,39,0.145522388059701,268,41,0.144366197183099,284,48,0.154838709677419,310,48,0.151419558359621,317,52,0.156156156156156,333,47,0.132022471910112,356,13,15,51,0.142857142857143,357,56,0.143222506393862,391,56,0.14,400,59,0.144963144963145,407,"Lake County",23150,"Antioch",60002
"2",84,0.044420941300899,1891,88,0.0546244568590937,1611,50,63,0.0846774193548387,744,64,0.0833333333333333,768,64,0.0776699029126214,824,70,0.0804597701149425,870,81,0.0857142857142857,945,87,0.0892307692307692,975,103,0.0779122541603631,1322,113,0.080945558739255,1396,29,33,123,0.0861948142957253,1427,146,0.0948051948051948,1540,154,0.0979020979020979,1573,161,0.0988943488943489,1628,"Cook County",52270,"Arlington Heights",60004
"3",27,0.0520231213872832,519,32,0.0706401766004415,453,33,41,0.179824561403509,228,44,0.184100418410042,239,49,0.176895306859206,277,53,0.170418006430868,311,55,0.160818713450292,342,61,0.171830985915493,355,63,0.17027027027027,370,66,0.16624685138539,397,17,21,70,0.170316301703163,411,81,0.172340425531915,470,82,0.17047817047817,481,85,0.172764227642276,492,"Cook County",29710,"Arlington Heights",60005
"4",40,0.0651465798045603,614,45,0.0786713286713287,572,45,61,0.225092250922509,271,63,0.226618705035971,278,70,0.227272727272727,308,75,0.220588235294118,340,86,0.218274111675127,394,86,0.212345679012346,405,91,0.210161662817552,433,94,0.20479302832244,459,24,32,102,0.212058212058212,481,113,0.208487084870849,542,116,0.206039076376554,563,117,0.199318568994889,587,"Cook County",33970,"Elk Grove Village",60007
"5",21,0.0626865671641791,335,25,0.0809061488673139,309,27,37,0.229813664596273,161,42,0.24,175,54,0.258373205741627,209,66,0.273858921161826,241,79,0.292592592592593,270,84,0.290657439446367,289,93,0.302931596091205,307,100,0.301204819277108,332,15,18,105,0.301724137931034,348,128,0.305489260143198,419,134,0.315294117647059,425,144,0.322869955156951,446,"Cook County",24150,"Rolling Meadows",60008
"6",22,0.0397111913357401,554,24,0.0501043841336117,479,28,30,0.144230769230769,208,32,0.148837209302326,215,33,0.14410480349345,229,35,0.137254901960784,255,39,0.131756756756757,296,39,0.127450980392157,306,40,0.124610591900312,321,40,0.10498687664042,381,18,21,42,0.109947643979058,382,47,0.10981308411215,428,47,0.106334841628959,442,48,0.103004291845494,466,"Lake County",44190,"Barrington",60010
"7",12,0.0774193548387097,155,14,0.0939597315436242,149,15,19,0.339285714285714,56,20,0.350877192982456,57,23,0.359375,64,38,0.4,95,38,0.348623853211009,109,43,0.373913043478261,115,44,0.376068376068376,117,47,0.3671875,128,9,11,48,0.360902255639098,133,54,0.36734693877551,147,55,0.348101265822785,158,56,0.345679012345679,162,"McHenry County",10830,"Crystal Lake",60012
"8",24,0.0710059171597633,338,29,0.0920634920634921,315,30,32,0.251968503937008,127,32,0.25,128,35,0.24822695035461,141,37,0.237179487179487,156,39,0.221590909090909,176,38,0.205405405405405,185,39,0.205263157894737,190,39,0.184834123222749,211,18,22,42,0.195348837209302,215,45,0.18595041322314,242,45,0.18,250,49,0.182835820895522,268,"McHenry County",26590,"Cary",60013
"9",26,0.0408163265306122,637,27,0.0502793296089385,537,29,39,0.1625,240,48,0.193548387096774,248,53,0.197761194029851,268,62,0.176638176638177,351,66,0.165829145728643,398,67,0.155813953488372,430,69,0.153333333333333,450,70,0.135135135135135,518,21,26,75,0.141242937853107,531,86,0.144295302013423,596,90,0.144,625,88,0.134556574923547,654,"McHenry County",49550,"Crystal Lake",60014
"10",56,0.0515179392824287,1087,61,0.0667396061269147,914,64,79,0.204134366925065,387,81,0.206106870229008,393,83,0.198564593301435,418,87,0.189130434782609,460,91,0.184959349593496,492,91,0.179133858267717,508,94,0.175373134328358,536,95,0.168738898756661,563,49,53,97,0.171075837742504,567,102,0.171717171717172,594,106,0.175206611570248,605,113,0.183441558441558,616,"Lake County",27390,"Deerfield",60015
