regions,county,primary_city,zip
,Lake County,Antioch,60002
,Cook County,Arlington Heights,60004
,Cook County,Arlington Heights,60005
,Cook County,Elk Grove Village,60007
,Cook County,Rolling Meadows,60008
,Lake County,Barrington,60010
,McHenry County,Crystal Lake,60012
,McHenry County,Cary,60013
,McHenry County,Crystal Lake,60014
,Lake County,Deerfield,60015
,Cook County,Des Plaines,60016
,Cook County,Des Plaines,60018
,Lake County,Fox Lake,60020
,McHenry County,Fox River Grove,60021
,Cook County,Glencoe,60022
,Cook County,Glenview,60025
,Cook County,Glenview,60026
,Lake County,Grayslake,60030
,Lake County,Gurnee,60031
,McHenry County,Harvard,60033
,Lake County,Highland Park,60035
,Lake County,Highwood,60040
,Lake County,Ingleside,60041
,McHenry County,Island Lake,60042
,Cook County,Kenilworth,60043
,Lake County,Lake Bluff,60044
,Lake County,Lake Forest,60045
,Lake County,Lake Villa,60046
,Lake County,Lake Zurich,60047
,Lake County,Libertyville,60048
,McHenry County,Mchenry,60050
,McHenry County,Mchenry,60051
,Cook County,Morton Grove,60053
,Cook County,Mount Prospect,60056
,Lake County,Mundelein,60060
,Lake County,Vernon Hills,60061
,Cook County,Northbrook,60062
,Lake County,North Chicago,60064
,Cook County,Palatine,60067
,Cook County,Park Ridge,60068
,Lake County,Lincolnshire,60069
,Cook County,Prospect Heights,60070
,McHenry County,Richmond,60071
,Lake County,Round Lake,60073
,Cook County,Palatine,60074
,Cook County,Skokie,60076
,Cook County,Skokie,60077
,McHenry County,Spring Grove,60081
,Lake County,Wadsworth,60083
,Lake County,Wauconda,60084
,Lake County,Waukegan,60085
,Lake County,Waukegan,60087
,Lake County,Great Lakes,60088
,Lake County,Buffalo Grove,60089
,Cook County,Wheeling,60090
,Cook County,Wilmette,60091
,Cook County,Winnetka,60093
,Lake County,Winthrop Harbor,60096
,McHenry County,Wonder Lake,60097
,McHenry County,Woodstock,60098
,Lake County,Zion,60099
,DuPage County,Addison,60101
,McHenry County,Algonquin,60102
,DuPage County,Bartlett,60103
,Cook County,Bellwood,60104
,DuPage County,Bensenville,60106
,Cook County,Streamwood,60107
,DuPage County,Bloomingdale,60108
,Kane County,Carpentersville,60110
,DeKalb County,Cortland,60112
,DeKalb County,Dekalb,60115
,Kane County,Dundee,60118
,Kane County,Elburn,60119
,Kane County,Elgin,60120
,Kane County,Elgin,60123
,Kane County,Elgin,60124
,DuPage County,Elmhurst,60126
,Cook County,Forest Park,60130
,Cook County,Franklin Park,60131
,Cook County,Hanover Park,60133
,Kane County,Geneva,60134
,DeKalb County,Genoa,60135
,Kane County,Gilberts,60136
,DuPage County,Glen Ellyn,60137
,DuPage County,Glendale Heights,60139
,Kane County,Hampshire,60140
,Cook County,Hines,60141
,McHenry County,Huntley,60142
,DuPage County,Itasca,60143
,DuPage County,Lombard,60148
,McHenry County,Marengo,60152
,Cook County,Maywood,60153
,Cook County,Westchester,60154
,Cook County,Broadview,60155
,McHenry County,Lake In The Hills,60156
,DuPage County,Medinah,60157
,Cook County,Melrose Park,60160
,Cook County,Hillside,60162
,Cook County,Berkeley,60163
,Cook County,Melrose Park,60164
,Cook County,Stone Park,60165
,Cook County,Hoffman Estates,60169
,Cook County,River Grove,60171
,DuPage County,Roselle,60172
,Cook County,Schaumburg,60173
,Kane County,Saint Charles,60174
,Kane County,Saint Charles,60175
,Cook County,Schiller Park,60176
,Kane County,South Elgin,60177
,DeKalb County,Sycamore,60178
,DuPage County,Villa Park,60181
,DuPage County,West Chicago,60185
,DuPage County,Wheaton,60187
,DuPage County,Carol Stream,60188
,DuPage County,Wheaton,60189
,DuPage County,Winfield,60190
,DuPage County,Wood Dale,60191
,Cook County,Hoffman Estates,60192
,Cook County,Schaumburg,60193
,Cook County,Schaumburg,60194
,Cook County,Schaumburg,60195
