"","2020-04-11","2020-04-13","2020-04-20","2020-04-21","2020-04-23","2020-04-25","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-04","2020-05-05","2020-05-06","county","population_2015","primary_city","zip"
"1",708,603,253,257,268,284,310,317,333,356,357,391,400,407,"Lake County",23150,"Antioch",60002
"2",1891,1611,744,768,824,870,945,975,1322,1396,1427,1540,1573,1628,"Cook County",52270,"Arlington Heights",60004
"3",519,453,228,239,277,311,342,355,370,397,411,470,481,492,"Cook County",29710,"Arlington Heights",60005
"4",614,572,271,278,308,340,394,405,433,459,481,542,563,587,"Cook County",33970,"Elk Grove Village",60007
"5",335,309,161,175,209,241,270,289,307,332,348,419,425,446,"Cook County",24150,"Rolling Meadows",60008
"6",554,479,208,215,229,255,296,306,321,381,382,428,442,466,"Lake County",44190,"Barrington",60010
"7",155,149,56,57,64,95,109,115,117,128,133,147,158,162,"McHenry County",10830,"Crystal Lake",60012
"8",338,315,127,128,141,156,176,185,190,211,215,242,250,268,"McHenry County",26590,"Cary",60013
"9",637,537,240,248,268,351,398,430,450,518,531,596,625,654,"McHenry County",49550,"Crystal Lake",60014
"10",1087,914,387,393,418,460,492,508,536,563,567,594,605,616,"Lake County",27390,"Deerfield",60015
"11",1607,1552,955,1001,1114,1230,1374,1431,1485,1537,1560,1804,1851,1923,"Cook County",60340,"Des Plaines",60016
"12",698,671,388,400,453,529,602,643,676,703,727,834,851,880,"Cook County",32290,"Des Plaines",60018
"13",220,182,77,77,81,103,114,119,124,129,131,157,164,170,"Lake County",8840,"Fox Lake",60020
"14",0,77,32,32,32,42,53,56,58,66,66,69,70,74,"McHenry County",5460,"Fox River Grove",60021
"15",336,272,112,113,119,136,151,153,162,173,175,186,187,194,"Cook County",8420,"Glencoe",60022
"16",1751,1490,671,688,740,798,860,886,926,962,978,1062,1075,1098,"Cook County",40350,"Glenview",60025
"17",633,557,223,230,250,279,300,305,311,323,329,366,369,382,"Cook County",13620,"Glenview",60026
"18",841,695,303,309,331,386,421,436,457,476,484,546,561,571,"Lake County",35670,"Grayslake",60030
"19",1098,943,430,437,484,528,566,583,604,625,638,722,736,752,"Lake County",37920,"Gurnee",60031
"20",0,0,95,99,106,138,151,154,158,181,183,224,231,243,"McHenry County",14220,"Harvard",60033
